Country,Year,Code,HCI
Afghanistan,2020,AFG,0.369
Albania,2020,ALB,0.665
Algeria,2020,DZA,0.557
American Samoa,2020,ASM,
Andorra,2020,AND,
Angola,2020,AGO,0.356
Antigua and Barbuda,2020,ATG,0.626
Argentina,2020,ARG,0.613
Armenia,2020,ARM,0.603
Aruba,2020,ABW,
Australia,2020,AUS,0.784
Austria,2020,AUT,0.761
Azerbaijan,2020,AZE,0.587
"Bahamas, The",2020,BHS,
Bahrain,2020,BHR,0.686
Bangladesh,2020,BGD,0.478
Barbados,2020,BRB,
Belarus,2020,BLR,0.734
Belgium,2020,BEL,0.772
Belize,2020,BLZ,
Benin,2020,BEN,0.401
Bermuda,2020,BMU,
Bhutan,2020,BTN,0.475
Bolivia,2020,BOL,
Bosnia and Herzegovina,2020,BIH,0.592
Botswana,2020,BWA,0.44
Brazil,2020,BRA,
British Virgin Islands,2020,VGB,
Brunei Darussalam,2020,BRN,0.645
Bulgaria,2020,BGR,0.632
Burkina Faso,2020,BFA,0.388
Burundi,2020,BDI,0.404
Cabo Verde,2020,CPV,
Cambodia,2020,KHM,
Cameroon,2020,CMR,0.397
Canada,2020,CAN,0.81
Cayman Islands,2020,CYM,
Central African Republic,2020,CAF,
Chad,2020,TCD,0.292
Channel Islands,2020,CHI,
Chile,2020,CHL,0.666
China,2020,CHN,0.659
Colombia,2020,COL,0.614
Comoros,2020,COM,0.413
"Congo, Dem. Rep.",2020,COD,0.368
"Congo, Rep.",2020,COG,0.428
Costa Rica,2020,CRI,0.643
Cote d'Ivoire,2020,CIV,0.378
Croatia,2020,HRV,0.739
Cuba,2020,CUB,
Curacao,2020,CUW,
Cyprus,2020,CYP,0.763
Czechia,2020,CZE,0.774
Denmark,2020,DNK,0.774
Djibouti,2020,DJI,
Dominica,2020,DMA,0.577
Dominican Republic,2020,DOM,0.523
Ecuador,2020,ECU,0.613
"Egypt, Arab Rep.",2020,EGY,0.514
El Salvador,2020,SLV,0.568
Equatorial Guinea,2020,GNQ,
Eritrea,2020,ERI,
Estonia,2020,EST,0.811
Eswatini,2020,SWZ,
Ethiopia,2020,ETH,0.384
Faroe Islands,2020,FRO,
Fiji,2020,FJI,0.532
Finland,2020,FIN,0.83
France,2020,FRA,0.781
French Polynesia,2020,PYF,
Gabon,2020,GAB,0.473
"Gambia, The",2020,GMB,0.436
Georgia,2020,GEO,0.612
Germany,2020,DEU,0.768
Ghana,2020,GHA,0.458
Gibraltar,2020,GIB,
Greece,2020,GRC,0.713
Greenland,2020,GRL,
Grenada,2020,GRD,0.597
Guam,2020,GUM,
Guatemala,2020,GTM,0.471
Guinea,2020,GIN,0.357
Guinea-Bissau,2020,GNB,
Guyana,2020,GUY,0.516
Haiti,2020,HTI,0.46
Honduras,2020,HND,0.493
"Hong Kong SAR, China",2020,HKG,0.848
Hungary,2020,HUN,0.706
Iceland,2020,ISL,0.768
India,2020,IND,0.5
Indonesia,2020,IDN,0.557
"Iran, Islamic Rep.",2020,IRN,0.612
Iraq,2020,IRQ,0.424
Ireland,2020,IRL,0.805
Isle of Man,2020,IMN,
Israel,2020,ISR,0.764
Italy,2020,ITA,0.738
Jamaica,2020,JAM,0.562
Japan,2020,JPN,
Jordan,2020,JOR,0.58
Kazakhstan,2020,KAZ,0.652
Kenya,2020,KEN,
Kiribati,2020,KIR,0.537
"Korea, Dem. People's Rep.",2020,PRK,
"Korea, Rep.",2020,KOR,0.815
Kosovo,2020,XKX,0.584
Kuwait,2020,KWT,0.596
Kyrgyz Republic,2020,KGZ,0.617
Lao PDR,2020,LAO,0.465
Latvia,2020,LVA,0.751
Lebanon,2017,LBN,0.537
Lesotho,2020,LSO,
Liberia,2020,LBR,0.324
Libya,2020,LBY,
Liechtenstein,2020,LIE,
Lithuania,2020,LTU,0.756
Luxembourg,2020,LUX,0.7
"Macao SAR, China",2020,MAC,0.818
Madagascar,2020,MDG,0.404
Malawi,2020,MWI,
Malaysia,2020,MYS,0.634
Maldives,2020,MDV,
Mali,2020,MLI,0.318
Malta,2020,MLT,0.738
